regime_type,regime,rows,accuracy,accuracy_interval_low,accuracy_interval_high,best_baseline_rule,best_baseline_accuracy,accuracy_difference_from_baseline,actual_up_pct
trend,bull,268,0.4664179104477612,0.40758732106283113,0.5261976134424212,always_down,0.5111940298507462,-0.04477611940298504,0.48880597014925375
trend,bear,134,0.5223880597014925,0.43837594818912184,0.6051523200933899,always_down,0.5149253731343284,0.00746268656716409,0.48507462686567165
trend,sideways,127,0.5826771653543307,0.4957210098262528,0.6647785763850147,sma_crossover,0.5729166666666666,0.009760498687664043,0.5039370078740157
volatility,high_volatility,196,0.5,0.43067732708942164,0.5693226729105784,always_down,0.5255102040816326,-0.025510204081632626,0.4744897959183674
volatility,low_volatility,333,0.5135135135135135,0.459983101268344,0.5667357000084039,sma_crossover,0.5049833887043189,0.008530124809194572,0.5015015015015015
