candle_time,event_time,funding_timestamp,funding_rate
2021-06-02 00:00:00+00:00,,,
2021-06-03 00:00:00+00:00,2021-06-03 00:00:00+00:00,1622678400000.0,0.0001
2021-06-04 00:00:00+00:00,2021-06-04 00:00:00+00:00,1622764800000.0,0.00041288
2021-06-05 00:00:00+00:00,2021-06-05 00:00:00+00:00,1622851200000.0,0.0001
2021-06-06 00:00:00+00:00,2021-06-06 00:00:00+00:00,1622937600000.0,0.0001
2021-06-07 00:00:00+00:00,2021-06-07 00:00:00+00:00,1623024000000.0,0.00039362
2021-06-08 00:00:00+00:00,2021-06-08 00:00:00+00:00,1623110400000.0,0.00069374
2021-06-09 00:00:00+00:00,2021-06-09 00:00:00+00:00,1623196800000.0,0.0001
2021-06-10 00:00:00+00:00,2021-06-10 00:00:00+00:00,1623283200000.0,0.0001
2021-06-11 00:00:00+00:00,2021-06-11 00:00:00+00:00,1623369600000.0,0.0001
2021-06-12 00:00:00+00:00,2021-06-12 00:00:00+00:00,1623456000000.0,0.00044763
2021-06-13 00:00:00+00:00,2021-06-13 00:00:00+00:00,1623542400000.0,0.0001
2021-06-14 00:00:00+00:00,2021-06-14 00:00:00+00:00,1623628800000.0,0.0001
2021-06-15 00:00:00+00:00,2021-06-15 00:00:00+00:00,1623715200000.0,0.00027614
2021-06-16 00:00:00+00:00,2021-06-16 00:00:00+00:00,1623801600000.0,0.0002956
2021-06-17 00:00:00+00:00,2021-06-17 00:00:00+00:00,1623888000000.0,0.0001
2021-06-18 00:00:00+00:00,2021-06-18 00:00:00+00:00,1623974400000.0,0.0006625
2021-06-19 00:00:00+00:00,2021-06-19 00:00:00+00:00,1624060800000.0,0.0001
2021-06-20 00:00:00+00:00,2021-06-20 00:00:00+00:00,1624147200000.0,0.0001
2021-06-21 00:00:00+00:00,2021-06-21 00:00:00+00:00,1624233600000.0,-0.0005267
2021-06-22 00:00:00+00:00,2021-06-22 00:00:00+00:00,1624320000000.0,-0.00033794
2021-06-23 00:00:00+00:00,2021-06-23 00:00:00+00:00,1624406400000.0,-0.00091774
2021-06-24 00:00:00+00:00,2021-06-24 00:00:00+00:00,1624492800000.0,-0.00048995
2021-06-25 00:00:00+00:00,2021-06-25 00:00:00+00:00,1624579200000.0,-0.00022558
2021-06-26 00:00:00+00:00,2021-06-26 00:00:00+00:00,1624665600000.0,7.167e-05
2021-06-27 00:00:00+00:00,2021-06-27 00:00:00+00:00,1624752000000.0,-0.00021387
2021-06-28 00:00:00+00:00,2021-06-28 00:00:00+00:00,1624838400000.0,0.0001
2021-06-29 00:00:00+00:00,2021-06-29 00:00:00+00:00,1624924800000.0,0.0001
2021-06-30 00:00:00+00:00,2021-06-30 00:00:00+00:00,1625011200000.0,0.00063767
2021-07-01 00:00:00+00:00,2021-07-01 00:00:00+00:00,1625097600000.0,0.0001
2021-07-02 00:00:00+00:00,2021-07-02 00:00:00+00:00,1625184000000.0,0.0001
2021-07-03 00:00:00+00:00,2021-07-03 00:00:00+00:00,1625270400000.0,0.0001
2021-07-04 00:00:00+00:00,2021-07-04 00:00:00+00:00,1625356800000.0,0.0001
2021-07-05 00:00:00+00:00,2021-07-05 00:00:00+00:00,1625443200000.0,0.0001
2021-07-06 00:00:00+00:00,2021-07-06 00:00:00+00:00,1625529600000.0,0.0001
2021-07-07 00:00:00+00:00,2021-07-07 00:00:00+00:00,1625616000000.0,0.0001
2021-07-08 00:00:00+00:00,2021-07-08 00:00:00+00:00,1625702400000.0,0.0001
2021-07-09 00:00:00+00:00,2021-07-09 00:00:00+00:00,1625788800000.0,0.0001
2021-07-10 00:00:00+00:00,2021-07-10 00:00:00+00:00,1625875200000.0,0.0001
2021-07-11 00:00:00+00:00,2021-07-11 00:00:00+00:00,1625961600000.0,0.0001
2021-07-12 00:00:00+00:00,2021-07-12 00:00:00+00:00,1626048000000.0,0.0001
2021-07-13 00:00:00+00:00,2021-07-13 00:00:00+00:00,1626134400000.0,0.0001
2021-07-14 00:00:00+00:00,2021-07-14 00:00:00+00:00,1626220800000.0,0.0001
2021-07-15 00:00:00+00:00,2021-07-15 00:00:00+00:00,1626307200000.0,0.0001
2021-07-16 00:00:00+00:00,2021-07-16 00:00:00+00:00,1626393600000.0,0.0001
2021-07-17 00:00:00+00:00,2021-07-17 00:00:00+00:00,1626480000000.0,0.0001
2021-07-18 00:00:00+00:00,2021-07-18 00:00:00+00:00,1626566400000.0,0.0001
2021-07-19 00:00:00+00:00,2021-07-19 00:00:00+00:00,1626652800000.0,0.0001
2021-07-20 00:00:00+00:00,2021-07-20 00:00:00+00:00,1626739200000.0,0.0001
2021-07-21 00:00:00+00:00,2021-07-21 00:00:00+00:00,1626825600000.0,0.0001
2021-07-22 00:00:00+00:00,2021-07-22 00:00:00+00:00,1626912000000.0,-0.00029056
2021-07-23 00:00:00+00:00,2021-07-23 00:00:00+00:00,1626998400000.0,0.00018922
2021-07-24 00:00:00+00:00,2021-07-24 00:00:00+00:00,1627084800000.0,0.00042112
2021-07-25 00:00:00+00:00,2021-07-25 00:00:00+00:00,1627171200000.0,0.0001
2021-07-26 00:00:00+00:00,2021-07-26 00:00:00+00:00,1627257600000.0,0.00017443
2021-07-27 00:00:00+00:00,2021-07-27 00:00:00+00:00,1627344000000.0,0.00032865
2021-07-28 00:00:00+00:00,2021-07-28 00:00:00+00:00,1627430400000.0,0.0001
2021-07-29 00:00:00+00:00,2021-07-29 00:00:00+00:00,1627516800000.0,0.00011339
2021-07-30 00:00:00+00:00,2021-07-30 00:00:00+00:00,1627603200000.0,0.0001
